#WL: discretization of Workload of package. S: Skill required by the package. SC: Skill of the caregiver. F: matrix of daily package assignmeent
WL=[[2,1,1,1,1],
  [1,0,2,1,1],
  [1,1,1,1,0],
  [1,0,1,1,1],
  [1,1,2,1,1],
  [2,0,1,1,0],
  [1,1,2,1,1],
  [1,1,1,1,0],
  [1,1,1,1,1],
  [2,1,2,1,0]];
M=200; #large number
S=[1,1,2,1,1,1,2,1,2,1];
SC=[2,2,3,2,1,2,3,2,2,2];
F=[[1,1,1,1,1],
  [1,0,1,1,1],
  [1,1,1,1,0],
  [1,0,1,1,1],
  [1,1,1,1,1],
  [1,0,1,1,0],
  [1,1,1,1,1],
  [1,1,1,1,0],
  [1,1,1,1,1],
  [1,1,1,1,0]];

